Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,330.200012,330.750000,326.450012,326.450012,326.450012,126280000
1991-01-03,326.459991,326.529999,321.899994,321.910004,321.910004,141450000
1991-01-04,321.910004,322.350006,318.869995,321.000000,321.000000,140820000
1991-01-07,320.970001,320.970001,315.440002,315.440002,315.440002,130610000
1991-01-08,315.440002,316.970001,313.790009,314.899994,314.899994,143390000
1991-01-09,314.899994,320.730011,310.929993,311.489990,311.489990,191100000
1991-01-10,311.510010,314.769989,311.510010,314.529999,314.529999,124510000
1991-01-11,314.529999,315.239990,313.589996,315.230011,315.230011,123050000
1991-01-14,315.230011,315.230011,309.350006,312.489990,312.489990,120830000
1991-01-15,312.489990,313.730011,311.839996,313.730011,313.730011,110000000
1991-01-16,313.730011,316.940002,312.940002,316.170013,316.170013,134560000
1991-01-17,316.250000,327.970001,316.250000,327.970001,327.970001,319080000
1991-01-18,327.929993,332.230011,327.079987,332.230011,332.230011,226770000
1991-01-21,332.230011,332.230011,328.869995,331.059998,331.059998,136290000
1991-01-22,331.059998,331.260010,327.829987,328.309998,328.309998,177060000
1991-01-23,328.299988,331.040009,327.929993,330.209991,330.209991,168620000
1991-01-24,330.209991,335.829987,330.190002,334.779999,334.779999,223150000
1991-01-25,334.779999,336.920013,334.200012,336.070007,336.070007,194350000
1991-01-28,336.059998,337.410004,335.809998,336.029999,336.029999,141270000
1991-01-29,336.029999,336.029999,334.260010,335.839996,335.839996,155740000
1991-01-30,335.799988,340.910004,335.709991,340.910004,340.910004,226790000
1991-01-31,340.920013,343.929993,340.470001,343.929993,343.929993,204520000
1991-02-01,343.910004,344.899994,340.369995,343.049988,343.049988,246670000
1991-02-04,343.049988,348.709991,342.959991,348.339996,348.339996,250750000
1991-02-05,348.339996,351.839996,347.209991,351.260010,351.260010,290570000
1991-02-06,351.260010,358.070007,349.579987,358.070007,358.070007,276940000
1991-02-07,358.070007,363.429993,355.529999,356.519989,356.519989,292190000
1991-02-08,356.519989,359.350006,356.019989,359.350006,359.350006,187830000
1991-02-11,359.359985,368.579987,359.320007,368.579987,368.579987,265350000
1991-02-12,368.579987,370.540009,365.500000,365.500000,365.500000,256160000
1991-02-13,365.500000,369.489990,364.640015,369.019989,369.019989,209960000
1991-02-14,369.019989,370.260010,362.769989,364.220001,364.220001,230750000
1991-02-15,364.230011,369.489990,364.230011,369.059998,369.059998,228480000
1991-02-19,369.059998,370.109985,367.049988,369.390015,369.390015,189900000
1991-02-20,369.369995,369.369995,364.380005,365.140015,365.140015,185680000
1991-02-21,365.140015,366.790009,364.500000,364.970001,364.970001,180770000
1991-02-22,364.970001,370.959991,364.230011,365.649994,365.649994,218760000
1991-02-25,365.649994,370.190002,365.160004,367.260010,367.260010,193820000
1991-02-26,367.260010,367.260010,362.190002,362.809998,362.809998,164170000
1991-02-27,362.809998,368.380005,362.809998,367.739990,367.739990,211410000
1991-02-28,367.730011,369.910004,365.950012,367.070007,367.070007,223010000
1991-03-01,367.070007,370.470001,363.730011,370.470001,370.470001,221510000
1991-03-04,370.470001,371.989990,369.070007,369.329987,369.329987,199830000
1991-03-05,369.329987,377.890015,369.329987,376.720001,376.720001,253700000
1991-03-06,376.720001,379.660004,375.019989,376.170013,376.170013,262290000
1991-03-07,376.160004,377.489990,375.579987,375.910004,375.910004,197060000
1991-03-08,375.910004,378.690002,374.429993,374.950012,374.950012,206850000
1991-03-11,374.940002,375.100006,372.519989,372.959991,372.959991,161600000
1991-03-12,372.959991,374.350006,369.549988,370.029999,370.029999,176440000
1991-03-13,370.029999,374.649994,370.029999,374.570007,374.570007,176000000
1991-03-14,374.589996,378.279999,371.760010,373.500000,373.500000,232070000
1991-03-15,373.500000,374.579987,370.209991,373.589996,373.589996,237650000
1991-03-18,373.589996,374.089996,369.459991,372.109985,372.109985,163100000
1991-03-19,372.109985,372.109985,366.540009,366.589996,366.589996,177070000
1991-03-20,366.589996,368.850006,365.799988,367.920013,367.920013,196810000
1991-03-21,367.940002,371.010010,366.510010,366.579987,366.579987,199830000
1991-03-22,366.579987,368.220001,365.579987,367.480011,367.480011,160890000
1991-03-25,367.480011,371.309998,367.459991,369.829987,369.829987,153920000
1991-03-26,369.829987,376.299988,369.369995,376.299988,376.299988,198720000
1991-03-27,376.279999,378.480011,374.730011,375.350006,375.350006,201830000
1991-03-28,375.350006,376.600006,374.399994,375.220001,375.220001,150750000
1991-04-01,375.220001,375.220001,370.269989,371.299988,371.299988,144010000
1991-04-02,371.299988,379.500000,371.299988,379.500000,379.500000,189530000
1991-04-03,379.500000,381.559998,378.489990,378.940002,378.940002,213720000
1991-04-04,378.940002,381.880005,377.049988,379.769989,379.769989,198120000
1991-04-05,379.779999,381.119995,374.149994,375.359985,375.359985,187410000
1991-04-08,375.350006,378.760010,374.690002,378.660004,378.660004,138580000
1991-04-09,378.649994,379.019989,373.109985,373.559998,373.559998,169940000
1991-04-10,373.570007,374.829987,371.209991,373.149994,373.149994,167940000
1991-04-11,373.149994,379.529999,373.149994,377.630005,377.630005,196570000
1991-04-12,377.649994,381.070007,376.890015,380.399994,380.399994,198610000
1991-04-15,380.399994,382.320007,378.779999,381.190002,381.190002,161800000
1991-04-16,381.190002,387.619995,379.640015,387.619995,387.619995,214480000
1991-04-17,387.619995,391.260010,387.299988,390.450012,390.450012,246930000
1991-04-18,390.450012,390.970001,388.130005,388.459991,388.459991,217410000
1991-04-19,388.459991,388.459991,383.899994,384.200012,384.200012,195520000
1991-04-22,384.190002,384.190002,380.160004,380.950012,380.950012,164410000
1991-04-23,380.950012,383.549988,379.670013,381.760010,381.760010,167840000
1991-04-24,381.760010,383.019989,379.989990,382.760010,382.760010,166800000
1991-04-25,382.890015,382.890015,378.429993,379.250000,379.250000,166940000
1991-04-26,379.250000,380.109985,376.769989,379.019989,379.019989,154550000
1991-04-29,379.010010,380.959991,373.660004,373.660004,373.660004,149860000
1991-04-30,373.660004,377.859985,373.010010,375.339996,375.339996,206230000
1991-05-01,375.350006,380.459991,375.269989,380.290009,380.290009,181900000
1991-05-02,380.290009,382.140015,379.820007,380.519989,380.519989,187090000
1991-05-03,380.519989,381.000000,378.820007,380.799988,380.799988,158150000
1991-05-06,380.779999,380.779999,377.859985,380.079987,380.079987,129110000
1991-05-07,380.079987,380.910004,377.309998,377.320007,377.320007,153290000
1991-05-08,377.329987,379.260010,376.209991,378.510010,378.510010,157240000
1991-05-09,378.510010,383.559998,378.510010,383.250000,383.250000,180460000
1991-05-10,383.260010,383.910004,375.609985,375.739990,375.739990,172730000
1991-05-13,375.739990,377.019989,374.619995,376.760010,376.760010,129620000
1991-05-14,375.510010,375.529999,370.820007,371.619995,371.619995,207890000
1991-05-15,371.549988,372.470001,365.829987,368.570007,368.570007,193110000
1991-05-16,368.570007,372.510010,368.570007,372.190002,372.190002,154460000
1991-05-17,372.190002,373.010010,369.440002,372.390015,372.390015,174210000
1991-05-20,372.390015,373.649994,371.260010,372.279999,372.279999,109510000
1991-05-21,372.279999,376.660004,372.279999,375.350006,375.350006,176620000
1991-05-22,375.350006,376.500000,374.399994,376.190002,376.190002,159310000
1991-05-23,376.190002,378.070007,373.549988,374.959991,374.959991,173080000
1991-05-24,374.970001,378.079987,374.970001,377.489990,377.489990,124640000
1991-05-28,377.489990,382.100006,377.119995,381.940002,381.940002,162350000
1991-05-29,381.940002,383.660004,381.369995,382.790009,382.790009,188450000
1991-05-30,382.790009,388.170013,382.500000,386.959991,386.959991,234440000
1991-05-31,386.959991,389.850006,385.010010,389.829987,389.829987,232040000
1991-06-03,389.809998,389.809998,386.970001,388.059998,388.059998,173990000
1991-06-04,388.059998,388.059998,385.140015,387.739990,387.739990,180450000
1991-06-05,387.739990,388.230011,384.450012,385.089996,385.089996,186560000
1991-06-06,385.100006,385.850006,383.130005,383.630005,383.630005,168260000
1991-06-07,383.630005,383.630005,378.760010,379.429993,379.429993,169570000
1991-06-10,379.429993,379.750000,377.950012,378.570007,378.570007,127720000
1991-06-11,378.570007,381.630005,378.570007,381.049988,381.049988,161610000
1991-06-12,381.049988,381.049988,374.459991,376.649994,376.649994,166140000
1991-06-13,376.649994,377.899994,376.079987,377.630005,377.630005,145650000
1991-06-14,377.630005,382.299988,377.630005,382.290009,382.290009,167950000
1991-06-17,382.299988,382.309998,380.130005,380.130005,380.130005,134230000
1991-06-18,380.130005,381.829987,377.989990,378.589996,378.589996,155200000
1991-06-19,378.570007,378.570007,374.359985,375.089996,375.089996,156440000
1991-06-20,375.089996,376.290009,373.869995,375.420013,375.420013,163980000
1991-06-21,375.420013,377.750000,375.329987,377.750000,377.750000,193310000
1991-06-24,377.739990,377.739990,370.730011,370.940002,370.940002,137940000
1991-06-25,370.940002,372.619995,369.559998,370.649994,370.649994,155710000
1991-06-26,370.649994,372.730011,368.339996,371.589996,371.589996,187170000
1991-06-27,371.589996,374.399994,371.589996,374.399994,374.399994,163080000
1991-06-28,374.399994,374.399994,367.980011,371.160004,371.160004,163770000
1991-07-01,371.179993,377.920013,371.179993,377.920013,377.920013,167480000
1991-07-02,377.920013,377.929993,376.619995,377.470001,377.470001,157290000
1991-07-03,377.470001,377.470001,372.079987,373.329987,373.329987,140580000
1991-07-05,373.339996,375.510010,372.170013,374.079987,374.079987,69910000
1991-07-08,374.089996,377.940002,370.920013,377.940002,377.940002,138330000
1991-07-09,377.940002,378.579987,375.369995,376.109985,376.109985,151820000
1991-07-10,376.109985,380.350006,375.200012,375.739990,375.739990,178290000
1991-07-11,375.730011,377.679993,375.510010,376.970001,376.970001,157930000
1991-07-12,376.970001,381.410004,375.790009,380.250000,380.250000,174770000
1991-07-15,380.279999,383.000000,380.239990,382.390015,382.390015,161750000
1991-07-16,382.390015,382.940002,380.799988,381.540009,381.540009,182990000
1991-07-17,381.500000,382.859985,381.130005,381.179993,381.179993,195460000
1991-07-18,381.179993,385.369995,381.179993,385.369995,385.369995,200930000
1991-07-19,385.380005,385.829987,383.649994,384.220001,384.220001,190700000
1991-07-22,384.209991,384.549988,381.839996,382.880005,382.880005,149050000
1991-07-23,382.880005,384.859985,379.390015,379.420013,379.420013,160190000
1991-07-24,379.420013,380.459991,378.290009,378.640015,378.640015,158700000
1991-07-25,378.640015,381.130005,378.149994,380.959991,380.959991,145800000
1991-07-26,380.959991,381.760010,379.809998,380.929993,380.929993,127760000
1991-07-29,380.929993,383.149994,380.450012,383.149994,383.149994,136000000
1991-07-30,383.149994,386.920013,383.149994,386.690002,386.690002,169010000
1991-07-31,386.690002,387.809998,386.190002,387.809998,387.809998,166830000
1991-08-01,387.809998,387.950012,386.480011,387.119995,387.119995,170610000
1991-08-02,387.119995,389.559998,386.049988,387.179993,387.179993,162270000
1991-08-05,387.170013,387.170013,384.480011,385.059998,385.059998,128050000
1991-08-06,385.059998,390.799988,384.290009,390.619995,390.619995,174460000
1991-08-07,390.619995,391.589996,389.859985,390.559998,390.559998,172220000
1991-08-08,390.559998,391.799988,388.149994,389.320007,389.320007,163890000
1991-08-09,389.320007,389.890015,387.040009,387.119995,387.119995,143740000
1991-08-12,387.109985,388.170013,385.899994,388.019989,388.019989,145440000
1991-08-13,388.019989,392.119995,388.019989,389.619995,389.619995,212760000
1991-08-14,389.619995,391.850006,389.130005,389.899994,389.899994,124230000
1991-08-15,389.910004,391.920013,389.290009,389.329987,389.329987,174690000
